Date,Open,High,Low,Close,Volume,Turnover
20-02-2013,5966.3,5971,5937.55,5943.05,135354164,53307000000
21-02-2013,5909.65,5921.15,5844.4,5852.25,159401234,64072900000
22-02-2013,5837.95,5873.8,5835.8,5850.3,157046865,54875800000
25-02-2013,5870.55,5878.4,5825,5854.75,125128736,48515400000
26-02-2013,5838.3,5838.85,5748.6,5761.35,157360222,58420400000
27-02-2013,5784.9,5818.2,5749.7,5796.9,175165933,62023100000
28-02-2013,5834.35,5849.9,5671.9,5693.05,334852895,1.30E+11
01-03-2013,5702.45,5739.45,5679.9,5719.7,174517984,68775900000
04-03-2013,5704.7,5712,5663.6,5698.5,144887325,57787200000
05-03-2013,5722.45,5790.1,5722.4,5784.25,154406134,63213100000
06-03-2013,5816.4,5828.7,5795.05,5818.6,156901392,62444700000
07-03-2013,5801.3,5878,5801.3,5863.3,134679762,56768900000
08-03-2013,5883.65,5952.85,5883,5945.7,150781148,62141900000
11-03-2013,5946.1,5971.2,5930.35,5942.35,125384918,56883800000
12-03-2013,5944.6,5952,5893.65,5914.1,115944389,50983800000
13-03-2013,5884.8,5893.85,5842.25,5851.2,116710808,49500900000
14-03-2013,5845.95,5920.15,5791.75,5908.95,149008437,72040900000
15-03-2013,5914.9,5945.65,5861,5872.6,152156666,69841900000
18-03-2013,5816.75,5850.2,5814.35,5835.25,102663402,46900100000
19-03-2013,5859.5,5863.6,5724.3,5745.95,182311867,82550300000
20-03-2013,5740.55,5745.3,5682.3,5694.4,187624850,71036800000
21-03-2013,5705.9,5757.75,5647.95,5658.75,179177573,70539300000
22-03-2013,5659.8,5691.45,5631.8,5651.35,165293291,59093800000
25-03-2013,5707.3,5718.4,5624.4,5633.85,150388821,56834400000
26-03-2013,5613.75,5655.3,5612.05,5641.6,126500524,49391900000
28-03-2013,5647.75,5692.95,5604.85,5682.55,209658945,83723500000
01-04-2013,5697.35,5720.95,5675.9,5704.4,97779717,36833800000
02-04-2013,5701.7,5754.6,5687.15,5748.1,106423845,42621500000
03-04-2013,5740.2,5744.95,5650.1,5672.9,140713330,53139500000
04-04-2013,5640.65,5644.45,5565.65,5574.75,134586976,50004400000
05-04-2013,5568.1,5577.3,5534.7,5553.25,137461477,52815700000
08-04-2013,5550.5,5569.2,5537.05,5542.95,97021471,36732100000
09-04-2013,5568.75,5603.05,5487,5495.1,138184712,54859100000
10-04-2013,5536.25,5569.25,5477.2,5558.7,128558760,53870800000
11-04-2013,5601.65,5610.65,5542.85,5594,146828501,64693800000
12-04-2013,5520.7,5544.5,5494.9,5528.55,127323273,74472700000
15-04-2013,5508.5,5592.85,5500.3,5568.4,142918219,71339200000
16-04-2013,5562.45,5699.25,5555.85,5688.95,142679244,59430600000
17-04-2013,5708.65,5732.15,5669,5688.7,154575403,73041000000
18-04-2013,5682.7,5794.35,5681.85,5783.1,149883469,65887000000
22-04-2013,5789.85,5844.85,5789.8,5834.4,135095797,60732500000
23-04-2013,5843.1,5844.3,5791.55,5836.9,132218357,53668700000
25-04-2013,5856.1,5924.6,5853.3,5916.3,199597725,92116600000
26-04-2013,5899.75,5907.05,5860.5,5871.45,141311877,68400100000
29-04-2013,5877.6,5918.65,5868.8,5904.1,118882089,53648600000
30-04-2013,5932.6,5962.3,5867.8,5930.2,153186197,66990200000
02-05-2013,5911.4,6019.45,5910.95,5999.35,162376438,72774300000
03-05-2013,5993.5,6000.3,5930.15,5944,145754275,65909100000
06-05-2013,5944.9,5976.5,5928.45,5971.05,110166713,46124900000
07-05-2013,5983.45,6050.5,5982.95,6043.55,136372981,55721600000
08-05-2013,6064.15,6083.55,6024.95,6069.3,122278698,51599700000
09-05-2013,6078.35,6084.7,6040.45,6050.15,109997276,51647600000
10-05-2013,6046.25,6105.3,6045.6,6094.75,111351573,51622200000
11-05-2013,6088.2,6114.55,6084.15,6107.25,7991165,3557400000
13-05-2013,6098.2,6104.95,5972.9,5980.45,107948706,46330500000
14-05-2013,5989.7,6026.2,5970.05,5995.4,119265483,49216500000
15-05-2013,6018.85,6157.1,6018.85,6146.75,153892843,72407300000
16-05-2013,6128.25,6187.3,6128.25,6169.9,158635506,67333100000
17-05-2013,6172.95,6199.95,6146.15,6187.3,147280254,58704400000
20-05-2013,6198,6229.45,6146.05,6156.9,122252978,55899700000
21-05-2013,6152.35,6180.25,6102.35,6114.1,130589228,51227100000
22-05-2013,6127.05,6147.6,6074.45,6094.5,133763685,58371900000
23-05-2013,6050.4,6081.45,5955.7,5967.05,198930489,82301000000
24-05-2013,6010.7,6015.3,5936.8,5983.55,161622562,61930000000
27-05-2013,5989.4,6099.9,5975.55,6083.15,115115365,49611500000
28-05-2013,6086.35,6127.65,6055.4,6111.25,139668916,54811400000
29-05-2013,6120.45,6125.05,6069.8,6104.3,120205054,51358000000
30-05-2013,6072.15,6133.75,6072.15,6124.05,194092801,77948200000
31-05-2013,6098.7,6106.25,5975.55,5985.95,175311989,72231100000
03-06-2013,5997.35,6011,5916.35,5939.3,112123535,57022400000
04-06-2013,5941.1,5981.6,5910.25,5919.45,114450873,49905100000
05-06-2013,5908.3,5935.2,5883.7,5923.85,110223279,46913900000
06-06-2013,5895,5956.55,5869.5,5921.4,114174694,49615400000
07-06-2013,5900.05,5972.7,5871.3,5881,118346364,48886500000
10-06-2013,5907.9,5931.65,5857.4,5878,100130739,43047500000
